TIME_STAMP,MEASURED_VALUE
2023-02-02 00:00,5807.59125
2023-02-02 01:00,5390.23215
2023-02-02 02:00,5021.4337
2023-02-02 03:00,4761.5686
2023-02-02 04:00,4699.88345
2023-02-02 05:00,4881.00155
2023-02-02 06:00,5354.796
2023-02-02 07:00,5790.5294
2023-02-02 08:00,5980.83465
2023-02-02 09:00,5995.2716
2023-02-02 10:00,5940.1487
2023-02-02 11:00,5915.21215
2023-02-02 12:00,5732.7816
2023-02-02 13:00,5621.22335
2023-02-02 14:00,5476.85385
2023-02-02 15:00,5465.0418
2023-02-02 16:00,5680.2836
2023-02-02 17:00,6156.70295
2023-02-02 18:00,6280.07325
2023-02-02 19:00,6285.32305
2023-02-02 20:00,6114.70455
2023-02-02 21:00,5919.1495
2023-02-02 22:00,5814.1535
2023-02-02 23:00,5762.96795
