TIME_STAMP,MEASURED_VALUE
2023-01-29 00:00,6133.07885
2023-01-29 01:00,5778.71735
2023-01-29 02:00,5440.10525
2023-01-29 03:00,5159.24095
2023-01-29 04:00,5025.37105
2023-01-29 05:00,5257.6747
2023-01-29 06:00,5923.08685
2023-01-29 07:00,6431.005
2023-01-29 08:00,6665.93355
2023-01-29 09:00,6680.3705
2023-01-29 10:00,6608.18575
2023-01-29 11:00,6417.8805
2023-01-29 12:00,6287.94795
2023-01-29 13:00,6075.33105
2023-01-29 14:00,5945.3985
2023-01-29 15:00,5825.96555
2023-01-29 16:00,6088.45555
2023-01-29 17:00,6618.68535
2023-01-29 18:00,6723.68135
2023-01-29 19:00,6711.8693
2023-01-29 20:00,6537.31345
2023-01-29 21:00,6437.56725
2023-01-29 22:00,6381.1319
2023-01-29 23:00,6260.3865
