TIME_STAMP,MEASURED_VALUE
2023-01-19 00:00,6301
2023-01-19 01:00,5859
2023-01-19 02:00,5460
2023-01-19 03:00,5141
2023-01-19 04:00,5104
2023-01-19 05:00,5281
2023-01-19 06:00,5779
2023-01-19 07:00,6258
2023-01-19 08:00,6428
2023-01-19 09:00,6470
2023-01-19 10:00,6364
2023-01-19 11:00,6314
2023-01-19 12:00,6218
2023-01-19 13:00,6116
2023-01-19 14:00,6025
2023-01-19 15:00,6041
2023-01-19 16:00,6384
2023-01-19 17:00,6603
2023-01-19 18:00,6732
2023-01-19 19:00,6674
2023-01-19 20:00,6506
2023-01-19 21:00,6335
2023-01-19 22:00,6276
2023-01-19 23:00,6163
