TIME_STAMP,MEASURED_VALUE
2023-01-31 00:00,6053.0194
2023-01-31 01:00,5644.84745
2023-01-31 02:00,5295.73575
2023-01-31 03:00,5033.24575
2023-01-31 04:00,4980.74775
2023-01-31 05:00,5210.4265
2023-01-31 06:00,5706.5326
2023-01-31 07:00,6203.95115
2023-01-31 08:00,6344.3833
2023-01-31 09:00,6311.57205
2023-01-31 10:00,6209.20095
2023-01-31 11:00,6135.70375
2023-01-31 12:00,5971.6475
2023-01-31 13:00,5850.9021
2023-01-31 14:00,5685.5334
2023-01-31 15:00,5646.1599
2023-01-31 16:00,5849.58965
2023-01-31 17:00,6471.69095
2023-01-31 18:00,6619.9978
2023-01-31 19:00,6563.56245
2023-01-31 20:00,6509.752
2023-01-31 21:00,6374.56965
2023-01-31 22:00,6236.7624
2023-01-31 23:00,6080.58085
