TIME_STAMP,MEASURED_VALUE
2023-01-17 00:00,6234
2023-01-17 01:00,5886
2023-01-17 02:00,5483
2023-01-17 03:00,5188
2023-01-17 04:00,5063
2023-01-17 05:00,5242
2023-01-17 06:00,5813
2023-01-17 07:00,6241
2023-01-17 08:00,6430
2023-01-17 09:00,6582
2023-01-17 10:00,6539
2023-01-17 11:00,6571
2023-01-17 12:00,6565
2023-01-17 13:00,6495
2023-01-17 14:00,6413
2023-01-17 15:00,6411
2023-01-17 16:00,6688
2023-01-17 17:00,6863
2023-01-17 18:00,6926
2023-01-17 19:00,6852
2023-01-17 20:00,6743
2023-01-17 21:00,6577
2023-01-17 22:00,6478
2023-01-17 23:00,6397
