TIME_STAMP,MEASURED_VALUE
2023-01-21 00:00,5997.8965
2023-01-21 01:00,5794.46675
2023-01-21 02:00,5353.48355
2023-01-21 03:00,5043.74535
2023-01-21 04:00,4940.0618
2023-01-21 05:00,4841.62805
2023-01-21 06:00,4929.5622
2023-01-21 07:00,5153.99115
2023-01-21 08:00,5467.6667
2023-01-21 09:00,5811.5286
2023-01-21 10:00,6038.58245
2023-01-21 11:00,6167.20255
2023-01-21 12:00,6176.3897
2023-01-21 13:00,6081.8933
2023-01-21 14:00,5869.2764
2023-01-21 15:00,5891.58805
2023-01-21 16:00,6076.6435
2023-01-21 17:00,6336.5086
2023-01-21 18:00,6302.3849
2023-01-21 19:00,6306.32225
2023-01-21 20:00,6340.44595
2023-01-21 21:00,6261.69895
2023-01-21 22:00,6362.7576
2023-01-21 23:00,6173.7648
