TIME_STAMP,MEASURED_VALUE
2023-01-18 00:00,6254
2023-01-18 01:00,5864
2023-01-18 02:00,5451
2023-01-18 03:00,5161
2023-01-18 04:00,5080
2023-01-18 05:00,5272
2023-01-18 06:00,5846
2023-01-18 07:00,6347
2023-01-18 08:00,6520
2023-01-18 09:00,6522
2023-01-18 10:00,6497
2023-01-18 11:00,6449
2023-01-18 12:00,6321
2023-01-18 13:00,6251
2023-01-18 14:00,6054
2023-01-18 15:00,6086
2023-01-18 16:00,6452
2023-01-18 17:00,6863
2023-01-18 18:00,6926
2023-01-18 19:00,6848
2023-01-18 20:00,6810
2023-01-18 21:00,6581
2023-01-18 22:00,6537
2023-01-18 23:00,6453
