TIME_STAMP,MEASURED_VALUE
2023-02-01 00:00,5995.2716
2023-02-01 01:00,5587.09965
2023-02-01 02:00,5247.1751
2023-02-01 03:00,4975.49795
2023-02-01 04:00,4907.25055
2023-02-01 05:00,5045.0578
2023-02-01 06:00,5549.0386
2023-02-01 07:00,5974.2724
2023-02-01 08:00,6277.44835
2023-02-01 09:00,6247.262
2023-02-01 10:00,6165.8901
2023-02-01 11:00,6017.58325
2023-02-01 12:00,5840.4025
2023-02-01 13:00,5736.71895
2023-02-01 14:00,5552.97595
2023-02-01 15:00,5592.34945
2023-02-01 16:00,5825.96555
2023-02-01 17:00,6328.6339
2023-02-01 18:00,6492.69015
2023-02-01 19:00,6455.94155
2023-02-01 20:00,6298.44755
2023-02-01 21:00,6133.07885
2023-02-01 22:00,6054.33185
2023-02-01 23:00,5862.71415
