TIME_STAMP,MEASURED_VALUE
2023-01-30 00:00,6146.20335
2023-01-30 01:00,5731.46915
2023-01-30 02:00,5311.48515
2023-01-30 03:00,5077.86905
2023-01-30 04:00,5038.49555
2023-01-30 05:00,5188.11485
2023-01-30 06:00,5723.59445
2023-01-30 07:00,6234.1375
2023-01-30 08:00,6389.0066
2023-01-30 09:00,6378.507
2023-01-30 10:00,6247.262
2023-01-30 11:00,6193.45155
2023-01-30 12:00,5987.3969
2023-01-30 13:00,5877.1511
2023-01-30 14:00,5713.09485
2023-01-30 15:00,5714.4073
2023-01-30 16:00,5958.523
2023-01-30 17:00,6530.7512
2023-01-30 18:00,6614.748
2023-01-30 19:00,6664.6211
2023-01-30 20:00,6536.001
2023-01-30 21:00,6356.19535
2023-01-30 22:00,6311.57205
2023-01-30 23:00,6215.7632
