TIME_STAMP,MEASURED_VALUE
2023-01-28 00:00,6072.70615
2023-01-28 01:00,5791.84185
2023-01-28 02:00,5446.6675
2023-01-28 03:00,5132.99195
2023-01-28 04:00,4972.87305
2023-01-28 05:00,4975.49795
2023-01-28 06:00,5005.6843
2023-01-28 07:00,5248.48755
2023-01-28 08:00,5612.0362
2023-01-28 09:00,5969.0226
2023-01-28 10:00,6181.6395
2023-01-28 11:00,6240.69975
2023-01-28 12:00,6261.69895
2023-01-28 13:00,6126.5166
2023-01-28 14:00,5937.5238
2023-01-28 15:00,5829.9029
2023-01-28 16:00,5996.58405
2023-01-28 17:00,6353.57045
2023-01-28 18:00,6448.06685
2023-01-28 19:00,6474.31585
2023-01-28 20:00,6437.56725
2023-01-28 21:00,6382.44435
2023-01-28 22:00,6371.94475
2023-01-28 23:00,6240.69975
