TIME_STAMP,FORECAST_VALUE
2023-01-25,00:00,6374.30690366211
2023-01-25,01:00,5934.8989
2023-01-25,02:00,5555.60085
2023-01-25,03:00,5328.547
2023-01-25,04:00,5258.72472408447
2023-01-25,05:00,5443.77985366211
2023-01-25,06:00,6031.75745366211
2023-01-25,07:00,6509.48925366211
2023-01-25,08:00,6663.04590366211
2023-01-25,09:00,6682.73265366211
2023-01-25,10:00,6625.2476
2023-01-25,11:00,6568.28739816894
2023-01-25,12:00,6473.26614633789
2023-01-25,13:00,6398.71860183105
2023-01-25,14:00,6274.03585183105
2023-01-25,15:00,6344.90815183105
2023-01-25,16:00,6811.6155
2023-01-25,17:00,7057.56850183105
2023-01-25,18:00,7055.46845366211
2023-01-25,19:00,6988.27139816894
2023-01-25,20:00,6905.06219633789
2023-01-25,21:00,6774.34204816894
2023-01-25,22:00,6686.14515183105
2023-01-25,23:00,6586.66169816894
