TIME_STAMP,FORECAST_VALUE
2023-01-23,00:00,6302.90975183105
2023-01-23,01:00,5844.86470183105
2023-01-23,02:00,5485.77825366211
2023-01-23,03:00,5209.37647591553
2023-01-23,04:00,5144.01640183105
2023-01-23,05:00,5322.77234816894
2023-01-23,06:00,5925.44900366211
2023-01-23,07:00,6419.19295
2023-01-23,08:00,6585.8741
2023-01-23,09:00,6660.15889816894
2023-01-23,10:00,6619.21020233105
2023-01-23,11:00,6596.89855183105
2023-01-23,12:00,6545.18815
2023-01-23,13:00,6450.16689816894
2023-01-23,14:00,6373.2572
2023-01-23,15:00,6449.11655366211
2023-01-23,16:00,6828.67735
2023-01-23,17:00,7058.3561
2023-01-23,18:00,7033.68229633789
2023-01-23,19:00,7016.3577
2023-01-23,20:00,6907.68709633789
2023-01-23,21:00,6727.6187
2023-01-23,22:00,6606.34844816894
2023-01-23,23:00,6446.7544
