TIME_STAMP,FORECAST_VALUE
2023-01-20,00:00,6037.79485183105
2023-01-20,01:00,5687.89555366211
2023-01-20,02:00,5287.59862408447
2023-01-20,03:00,5023.27100183105
2023-01-20,04:00,4911.1879
2023-01-20,05:00,4974.97309816894
2023-01-20,06:00,5240.35042408447
2023-01-20,07:00,5568.46260366211
2023-01-20,08:00,5881.35119633789
2023-01-20,09:00,6097.90544633789
2023-01-20,10:00,6169.30259816895
2023-01-20,11:00,6202.37595366211
2023-01-20,12:00,6178.75185366211
2023-01-20,13:00,6125.99174816894
2023-01-20,14:00,6033.85750183105
2023-01-20,15:00,6097.11784816894
2023-01-20,16:00,6501.08970183105
2023-01-20,17:00,6690.08250183105
2023-01-20,18:00,6663.30865
2023-01-20,19:00,6599.78619816894
2023-01-20,20:00,6459.09130183105
2023-01-20,21:00,6273.24825366211
2023-01-20,22:00,6172.71509633789
2023-01-20,23:00,6113.12935366211
