TIME_STAMP,FORECAST_VALUE
2023-02-06,00:00,6012.33345
2023-02-06,01:00,5603.37390183105
2023-02-06,02:00,5254.78737408447
2023-02-06,03:00,5006.99675
2023-02-06,04:00,4976.54797408447
2023-02-06,05:00,5182.07745183105
2023-02-06,06:00,5775.82970366211
2023-02-06,07:00,6261.17409816894
2023-02-06,08:00,6440.19215
2023-02-06,09:00,6437.30450366211
2023-02-06,10:00,6381.1319
2023-02-06,11:00,6325.74625366211
2023-02-06,12:00,6252.5118
2023-02-06,13:00,6141.21629633789
2023-02-06,14:00,6076.38075366211
2023-02-06,15:00,6123.62895366211
2023-02-06,16:00,6551.7504
2023-02-06,17:00,6867.78810366211
2023-02-06,18:00,6919.49914633789
2023-02-06,19:00,6855.18909633789
2023-02-06,20:00,6730.76845183105
2023-02-06,21:00,6554.90015183105
2023-02-06,22:00,6413.94315
2023-02-06,23:00,6272.46129633789
