TIME_STAMP,FORECAST_VALUE
2023-02-05,00:00,5915.21215
2023-02-05,01:00,5533.81405183105
2023-02-05,02:00,5169.21569816895
2023-02-05,03:00,4912.50035
2023-02-05,04:00,4875.22689816894
2023-02-05,05:00,5074.45655183105
2023-02-05,06:00,5711.51965366211
2023-02-05,07:00,6238.07485
2023-02-05,08:00,6436.51754633789
2023-02-05,09:00,6515.78939816894
2023-02-05,10:00,6451.47934816894
2023-02-05,11:00,6424.44275
2023-02-05,12:00,6339.65835183105
2023-02-05,13:00,6250.41175183105
2023-02-05,14:00,6183.21469633789
2023-02-05,15:00,6240.43700366211
2023-02-05,16:00,6610.02305183105
2023-02-05,17:00,6885.90029816894
2023-02-05,18:00,6916.87424633789
2023-02-05,19:00,6840.75214633789
2023-02-05,20:00,6735.4934
2023-02-05,21:00,6570.1247
2023-02-05,22:00,6428.11735366211
2023-02-05,23:00,6295.29779816894
