TIME_STAMP,FORECAST_VALUE
2023-02-02,00:00,5734.61890183105
2023-02-02,01:00,5310.69755183105
2023-02-02,02:00,4947.67407408447
2023-02-02,03:00,4704.08322591553
2023-02-02,04:00,4668.12222408447
2023-02-02,05:00,4844.25295
2023-02-02,06:00,5342.45909816895
2023-02-02,07:00,5760.86790183105
2023-02-02,08:00,5912.06239816895
2023-02-02,09:00,5920.46195
2023-02-02,10:00,5898.1503
2023-02-02,11:00,5856.41464633789
2023-02-02,12:00,5793.41704633789
2023-02-02,13:00,5733.83130366211
2023-02-02,14:00,5645.11019633789
2023-02-02,15:00,5735.14375366211
2023-02-02,16:00,6125.72900183105
2023-02-02,17:00,6402.1311
2023-02-02,18:00,6467.7536
2023-02-02,19:00,6395.30610366211
2023-02-02,20:00,6243.58739633789
2023-02-02,21:00,6084.5182
2023-02-02,22:00,5952.74834816895
2023-02-02,23:00,5784.22989633789
