TIME_STAMP,FORECAST_VALUE
2023-01-31,00:00,6171.1399
2023-01-31,01:00,5774.25514816895
2023-01-31,02:00,5384.98235
2023-01-31,03:00,5145.06642591553
2023-01-31,04:00,5035.34579816895
2023-01-31,05:00,5257.6747
2023-01-31,06:00,5772.1551
2023-01-31,07:00,6203.16355183105
2023-01-31,08:00,6340.18320366211
2023-01-31,09:00,6406.59330183105
2023-01-31,10:00,6320.49645366211
2023-01-31,11:00,6243.58739633789
2023-01-31,12:00,6146.20335
2023-01-31,13:00,6018.37084816894
2023-01-31,14:00,5933.84919633789
2023-01-31,15:00,5963.24794816895
2023-01-31,16:00,6438.61695366211
2023-01-31,17:00,6799.80345
2023-01-31,18:00,6844.68949633789
2023-01-31,19:00,6781.42915
2023-01-31,20:00,6664.88384633789
2023-01-31,21:00,6497.15235183105
2023-01-31,22:00,6375.8821
2023-01-31,23:00,6240.43700366211
