TIME_STAMP,FORECAST_VALUE
2023-02-03,00:00,5588.93695183105
2023-02-03,01:00,5248.74997591553
2023-02-03,02:00,4876.80177408447
2023-02-03,03:00,4642.92324816895
2023-02-03,04:00,4575.46312591553
2023-02-03,05:00,4682.03400183105
2023-02-03,06:00,4934.28714816895
2023-02-03,07:00,5319.88470183105
2023-02-03,08:00,5666.89635366211
2023-02-03,09:00,5859.03954633789
2023-02-03,10:00,5914.16244633789
2023-02-03,11:00,5951.17315183105
2023-02-03,12:00,5930.17395183105
2023-02-03,13:00,5883.18849816894
2023-02-03,14:00,5781.34225
2023-02-03,15:00,5800.76625366211
2023-02-03,16:00,6093.70535
2023-02-03,17:00,6292.67289816894
2023-02-03,18:00,6301.86004816894
2023-02-03,19:00,6245.16195183105
2023-02-03,20:00,6118.37915366211
2023-02-03,21:00,5925.18689816894
2023-02-03,22:00,5768.21775
2023-02-03,23:00,5696.033
