TIME_STAMP,FORECAST_VALUE
2023-02-07,00:00,6054.06910366211
2023-02-07,01:00,5648.7848
2023-02-07,02:00,5276.31142591553
2023-02-07,03:00,5020.90884816895
2023-02-07,04:00,4977.86042408447
2023-02-07,05:00,5184.96509816894
2023-02-07,06:00,5719.13224816894
2023-02-07,07:00,6208.67609816894
2023-02-07,08:00,6338.87075366211
2023-02-07,09:00,6361.44515
2023-02-07,10:00,6316.82185
2023-02-07,11:00,6285.32305
2023-02-07,12:00,6184.78925183105
2023-02-07,13:00,6089.768
2023-02-07,14:00,5972.17235183105
2023-02-07,15:00,6024.67035183105
2023-02-07,16:00,6420.24265366211
2023-02-07,17:00,6739.69349633789
2023-02-07,18:00,6791.92875
2023-02-07,19:00,6713.70660183105
2023-02-07,20:00,6596.11095366211
2023-02-07,21:00,6437.30450366211
2023-02-07,22:00,6322.33439633789
2023-02-07,23:00,6167.99014816894
