TIME_STAMP,FORECAST_VALUE
2023-02-01,00:00,5897.62544816894
2023-02-01,01:00,5523.05234633789
2023-02-01,02:00,5134.3044
2023-02-01,03:00,4888.87625
2023-02-01,04:00,4822.99132408447
2023-02-01,05:00,5002.53454816894
2023-02-01,06:00,5583.42504633789
2023-02-01,07:00,6012.33345
2023-02-01,08:00,6128.09179633789
2023-02-01,09:00,6102.8925
2023-02-01,10:00,6028.87044816894
2023-02-01,11:00,5935.16164633789
2023-02-01,12:00,5805.75394816894
2023-02-01,13:00,5695.50814816894
2023-02-01,14:00,5588.14935366211
2023-02-01,15:00,5662.17204633789
2023-02-01,16:00,6201.58899633789
2023-02-01,17:00,6583.51194633789
2023-02-01,18:00,6598.21100183105
2023-02-01,19:00,6573.79930366211
2023-02-01,20:00,6445.96680183105
2023-02-01,21:00,6298.18480366211
2023-02-01,22:00,6149.35310183105
2023-02-01,23:00,6033.59539633789
