TIME_STAMP,FORECAST_VALUE
2023-01-24,00:00,6231.77534633789
2023-01-24,01:00,5844.86470183105
2023-01-24,02:00,5441.4177
2023-01-24,03:00,5207.27674816895
2023-01-24,04:00,5149.26620233105
2023-01-24,05:00,5362.93312591553
2023-01-24,06:00,5965.61010183105
2023-01-24,07:00,6458.30370366211
2023-01-24,08:00,6615.53559816894
2023-01-24,09:00,6637.32239633789
2023-01-24,10:00,6606.08570183105
2023-01-24,11:00,6587.97414816894
2023-01-24,12:00,6515.26454633789
2023-01-24,13:00,6443.07979633789
2023-01-24,14:00,6369.84470183105
2023-01-24,15:00,6462.24105366211
2023-01-24,16:00,6944.43569633789
2023-01-24,17:00,7122.66615
2023-01-24,18:00,7125.02830366211
2023-01-24,19:00,7080.93049633789
2023-01-24,20:00,6941.81079633789
2023-01-24,21:00,6788.77899816894
2023-01-24,22:00,6609.23545366211
2023-01-24,23:00,6431.52985183105
