TIME_STAMP,FORECAST_VALUE
2023-02-04,00:00,5739.34385
2023-02-04,01:00,5425.6683
2023-02-04,02:00,5027.20835183105
2023-02-04,03:00,4747.65650183105
2023-02-04,04:00,4608.01195
2023-02-04,05:00,4605.91190183105
2023-02-04,06:00,4733.48229816894
2023-02-04,07:00,4982.84779816894
2023-02-04,08:00,5292.84842408447
2023-02-04,09:00,5600.74900183105
2023-02-04,10:00,5795.25434816894
2023-02-04,11:00,5907.33745
2023-02-04,12:00,5914.94940366211
2023-02-04,13:00,5834.10299633789
2023-02-04,14:00,5696.29574633789
2023-02-04,15:00,5722.80685183105
2023-02-04,16:00,6034.12024816895
2023-02-04,17:00,6270.8861
2023-02-04,18:00,6298.71029633789
2023-02-04,19:00,6302.12215366211
2023-02-04,20:00,6267.99845366211
2023-02-04,21:00,6170.87715366211
2023-02-04,22:00,6082.15604633789
2023-02-04,23:00,5899.46275
