TIME_STAMP,FORECAST_VALUE
2023-01-22,00:00,6044.09499633789
2023-01-22,01:00,5661.12170183105
2023-01-22,02:00,5279.72392408447
2023-01-22,03:00,5046.10782408447
2023-01-22,04:00,4974.1855
2023-01-22,05:00,5171.57785183105
2023-01-22,06:00,5833.84025
2023-01-22,07:00,6338.34590183105
2023-01-22,08:00,6524.45169633789
2023-01-22,09:00,6599.52345183105
2023-01-22,10:00,6555.16289816894
2023-01-22,11:00,6548.33790183105
2023-01-22,12:00,6463.81625
2023-01-22,13:00,6410.0058
2023-01-22,14:00,6323.90895183105
2023-01-22,15:00,6391.10664816895
2023-01-22,16:00,6837.07690183105
2023-01-22,17:00,7017.40740366211
2023-01-22,18:00,6996.67095
2023-01-22,19:00,6905.84915366211
2023-01-22,20:00,6820.80265
2023-01-22,21:00,6644.40949816895
2023-01-22,22:00,6510.01474633789
2023-01-22,23:00,6400.29379816894
