TIME_STAMP,FORECAST_VALUE
2023-01-18,00:00,6382.44435
2023-01-18,01:00,5948.81099816894
2023-01-18,02:00,5554.55114633789
2023-01-18,03:00,5323.03477408447
2023-01-18,04:00,5242.45015183105
2023-01-18,05:00,5422.51854816895
2023-01-18,06:00,5998.42135183105
2023-01-18,07:00,6455.15395183105
2023-01-18,08:00,6594.53639816895
2023-01-18,09:00,6632.07259633789
2023-01-18,10:00,6586.13684633789
2023-01-18,11:00,6496.10264816895
2023-01-18,12:00,6378.507
2023-01-18,13:00,6270.09850183105
2023-01-18,14:00,6142.79085183105
2023-01-18,15:00,6191.35150183105
2023-01-18,16:00,6633.90989816894
2023-01-18,17:00,7004.02079816894
2023-01-18,18:00,7050.21865366211
2023-01-18,19:00,7009.00785183105
2023-01-18,20:00,6907.94920233105
2023-01-18,21:00,6740.48045366211
2023-01-18,22:00,6620.78539816895
2023-01-18,23:00,6460.66649816894
