TIME_STAMP,FORECAST_VALUE
2023-01-30,00:00,6277.18560366211
2023-01-30,01:00,5872.68889816894
2023-01-30,02:00,5473.44135183105
2023-01-30,03:00,5218.3012
2023-01-30,04:00,5135.61685
2023-01-30,05:00,5323.55962591553
2023-01-30,06:00,5866.38875366211
2023-01-30,07:00,6357.5078
2023-01-30,08:00,6510.80170366211
2023-01-30,09:00,6534.16369816894
2023-01-30,10:00,6478.77805183105
2023-01-30,11:00,6372.99445366211
2023-01-30,12:00,6256.18640366211
2023-01-30,13:00,6108.1423
2023-01-30,14:00,5995.00885366211
2023-01-30,15:00,6069.55639816894
2023-01-30,16:00,6569.33710183105
2023-01-30,17:00,6904.01185183105
2023-01-30,18:00,6974.88415183105
2023-01-30,19:00,6934.46094816894
2023-01-30,20:00,6789.30385
2023-01-30,21:00,6649.65929816894
2023-01-30,22:00,6483.24025366211
2023-01-30,23:00,6375.35724816894
